PHRASE,FULL_TEXT
dry cleaning,do you have dry cleaning service?
dry cleaning,is dry cleaning complimentary?
crib,cribs charges?
crib,how much does crib cost?
crib,do you have cribs in your property?
dress code,is there a dress shop in your location?
location,is there a dress shop in your location?
dress code,where is the dress shop located?
location,where is the dress shop located?
program,do you have space for private events?
event room,how much do you charge for organizing party or private event in your property?
program,do you have membership and loyalty program?
rewards program,do you have membership and loyalty program?
program,can you provide information on membership and loyalty program?
rewards program,can you provide information on membership and loyalty program?
location,cross street information?
location,can you provide cross street info?
gift shop,is there any gift shop in your venue?
gift shop,where can i find gift shop in your property?
gift shop,do you have any gift shop in your hotel?
gift shop,gift shop?
pool,heated pool temperature?
air conditioning,room heating facility?
air conditioning,is there a heating facility available in your guestrooms?
safety deposit box,is there a safe in the guestrooms?
safety deposit box,what kind of safe box available in guestrooms?
safety deposit box,is there a safe box  available in guestrooms
refrigerator,is there a mini fridge available in guestrooms?
tea maker,is there a tea maker in the room?
tea maker,tea maker?
channel lineup,does the tv contain premium channels ?
discount,Advance booking discount
wifi,What is the WIFI
wifi,What's the WiFi password
wifi,What's your WiFi password
late checkout,Can you get late check out
charger,an extra iPhone charger
microwave,a microwave in the room
checkin time,Check in time frame
parking,Where would be parking
check-in,What's the earliest I can check in
check-in,Policy says check in is at 3pm but I might not be able to check in till around 3pm or 4pm. Is that okay
check-in,How late at night can I check in
ice machine,Gotta have an ice machine
check-in,What's the latest I can check in
pet policy,We need a dog room please?
location,What is the address of the motel
breakfast,serve breakfast
check-in,Can I check in earlier today
wifi,Wifi details
check-in,Late check in available
wifi,Wifi connection
phone,Contact the correct phone
near by,Near by food
breakfast,How long is breakfast served
check out,Can you check out before
gym,is there a gym
gym,Gym?
location,Gym location
gym,Gym location
location,where is the gym
gym,where is the gym
location,where is the fitness center
gym,where is the fitness center
gym,is the fitness center free
gym,gym timings
gym,fitness center timings
gym,what is the cost for fitness center
gym,what is the cost for gym
program,events agenda
program,what are the events this month
program,what are the events hosted this month
program,Is there a calendar of events
program,what are the events hosted in the resort
program,Do you have an events agenda for upcoming months
program,Can I access the events agenda
dry cleaning,Do u offer dry cleaning service  at the hotel
breakfast,Do u have breakfast at the hotel
restaurant,What time does restaurant open for breakfast
hours of operation,What time does restaurant open for breakfast
hours of operation,What time does restaurant open for breakfast
breakfast,What time does restaurant open for breakfast
gym,Do u havea fitness center
attractions,Do you have a list of local restaurants and things to do?
gym,Will the fitness room or spa be open?
spa,Will the fitness room or spa be open?
hours of operation,Will the fitness room or spa be open?
gym,Will the fitness room or spa be open?
spa,Will the fitness room or spa be open?
hours of operation,Will the fitness room or spa be open?
spa,What are the hours of the spa?
hours of operation,What are the hours of the spa?
pool,Will the pool be open?
hours of operation,Will the pool be open?
pool,What are the hours of the pool
hours of operation,What are the hours of the pool
parking,What is the parking cost?
room service,Do you have room service?
restaurant,What are the hours of your restaurant?
hours of operation,What are the hours of your restaurant?
bar,What are the hours of the bar?
hours of operation,What are the hours of the bar?
business center,Is there a business center?
business center,What are the hours of the business center?
hours of operation,What are the hours of the business center?
shuttle service,Does the hotel provide shuttle service?
breakfast,Do u have breakfast items that are gluten free
breakfast,Do you offer breakfast if attending the event
breakfast,Do you offer gluten free items for breakfast
early checkin,Early checkin?
early checkin,Early check in?
early checkin,Early check-in?
express checkin,Express checkin?
express checkin,Express check-in?
express checkin,Express check in?
reservations,Do I need to make a reservation for Cocktail lounge?
housekeeping,Is Valet cleaning service available at the hotel?
bar,Is there a mini bar in guestrooms?
wifi,What's the WiFi log in and password
wifi,What's the WiFi log in and password
wifi,What's the WiFi password pls
wifi,Wifi code please
wifi,Is there a password for the wifi
wifi,Is there a password for the wifi
breakfast,Do you still have breakfast
breakfast,Breakfast is at?
checkout time,checkout time
checkin time,checkin time
checkout time,Can I extend my checkout time
early checkin,can i do early checkin
late checkout,can i do late checkout
check-in,checkin?
check out,checkout?
express checkin,express checkin
check out,express checkout
amenities,What amenities does the hotel offer?
amenities,What kind of amenities do you have?
amenities,Amenities
wifi,What is the WiFi password
wifi,WIFI
wifi,how to login to WIFI
wifi,WIFI Passcode
wifi,IS there WIFI
wifi,Free WIFI
wifi,How to connect to your wifi
complimentary breakfast,Do u have Complimentary breakfast
breakfast,Breakfast timings
breakfast,What is for Breakfast
complimentary breakfast,Is Breakfast free
hours of operation,Breakfast open time
hours of operation,Breakfast open time
breakfast,Breakfast open time
hours of operation,Breakfast close time
hours of operation,Breakfast close time
breakfast,Breakfast close time
complimentary breakfast,Does this hotel have a complimentary breakfast
order food,Breakfast menu
location,where is breakfast location
location,where is breakfast location
breakfast,where is breakfast location
breakfast,what do u serve in breakfast
breakfast,Continental Breakfast
breakfast,Do I need to pay extra for breakfast
location,location for breakfast
breakfast,location for breakfast
breakfast,When do you serve Breakfast
business center,When does the business center open?
hours of operation,When does the business center open?
business center,When does the business center close
hours of operation,When does the business center close
meeting room,Do you have meeting or boardroom
printer,do u have printer
fax,fax machine
printer,Do you have printer
fax,fax services
fax,how much does fax cost?
fax,fax charges
pool,do u have pool
pool,pool
location,where is the pool
pool,where is the pool
location,where is pool located
pool,where is pool located
location,pool location
pool,pool location
pool,what is closing time of pool?
hours of operation,what is closing time of pool?
pool,swimming pool timings
pool,pool timings
pool,what is the open time for pool?
hours of operation,what is the open time for pool?
hours of operation,what is the open time for pool?
location,where is the pool
pool,where is the pool
pool,what is the pool temperature
pool,DO you have indoor pool
jaccuzi,Jacuzzi temperature
jaccuzi,do u have jacuzzi
parking,parking
free parking,free parking
valet parking,do you have valet parking
shuttle service,Do you have shuttle service
